,date_created,user,tweet,user_mention,retweet_count,retweeted,location,followers,following,verfied,hashtag,comment,likes,type
0,Tue Mar 17 14:20:16 +0000 2020,Trevornoah,Nothing can break the human spirit. Except that guy. That kinda hurt. Will try again tomorrow. #AwholeNewSong https://t.co/KNtvadzXDw,Nan,9764,False,"New York, NY",10807999,325,True,AwholeNewSong,0,53418,Influencer
0,Tue Mar 17 22:57:22 +0000 2020,Trevornoah,Believe Cardi ME! Dave &amp; I talk about how real it’s getting in this week’s podcast. It’s up now. Give it a listen! https://t.co/MpaGun5LI7 Deepfake 🎥: @mystergiraffe https://t.co/2fItUthrYo,mystergiraffe,110,False,"New York, NY",10807999,325,True,Nan,0,1200,Influencer
0,Wed Mar 18 14:22:09 +0000 2020,Trevornoah,When the gym is closed! 😂😂😂 🎥: FB Peter Schmeiser https://t.co/keMkNe5NPF,Nan,2889,False,"New York, NY",10807999,325,True,Nan,0,15946,Influencer
0,Thu Mar 19 14:21:52 +0000 2020,Trevornoah,Welcome to The Daily Social Distancing Show! https://t.co/lg6O4FDT0e,Nan,767,False,"New York, NY",10807999,325,True,Nan,0,5542,Influencer
0,Thu Mar 19 21:44:35 +0000 2020,Trevornoah,😄❤️ https://t.co/nkHKtgLLND,Nan,67,False,"New York, NY",10807999,325,True,Nan,0,1668,Influencer
0,Fri Mar 20 22:48:14 +0000 2020,Trevornoah,New rules while in a public restroom 🎶 🙌🏾 Full episode at https://t.co/1NmUB60eAE https://t.co/Ck71O2eZFt,Nan,84,False,"New York, NY",10807999,325,True,Nan,0,710,Influencer
0,Sat Mar 21 16:33:22 +0000 2020,Trevornoah,Corona virus is the ultimate relationship boot camp.,Nan,1106,False,"New York, NY",10807999,325,True,Nan,0,8898,Influencer
0,Sun Mar 22 16:23:12 +0000 2020,Trevornoah,Is Onward only available in HD? No 4k?,Nan,27,False,"New York, NY",10807999,325,True,Nan,0,840,Influencer
0,Thu Mar 26 15:34:30 +0000 2020,Trevornoah,😂🙌🏾 🎥: FB Cara Skinner https://t.co/W7CFlahaHW,Nan,1300,False,"New York, NY",10807999,325,True,Nan,0,7779,Influencer
0,Mon Mar 30 19:24:32 +0000 2020,Trevornoah,Anytime is tea time! https://t.co/r5Q2ZNqNjU,Nan,258,False,"New York, NY",10807999,325,True,Nan,0,2520,Influencer
0,Wed Apr 01 13:30:22 +0000 2020,Trevornoah,New video launching on my Youtube tomorrow at 10am EST. Go Subscribe &amp; Set Reminder now! Or.... just go sit and wait under the video for 24 hours! 😂Either way I hope you tune in! https://t.co/B37dcEAae5,Nan,74,False,"New York, NY",10807999,325,True,Nan,0,820,Influencer
0,Thu Apr 02 13:55:00 +0000 2020,Trevornoah,In case you've already watched every video on Youtube! Here's another! Watch the FULL version here: https://t.co/B37dcEiyPv 😀 https://t.co/gYslLHF8cd,Nan,208,False,"New York, NY",10807999,325,True,Nan,0,1774,Influencer
0,Sat Apr 04 14:20:43 +0000 2020,Trevornoah,Yes you’re right there was a great president. 😄 https://t.co/38JIzPagvQ,Nan,770,False,"New York, NY",10807999,325,True,Nan,0,12672,Influencer
0,Sat Apr 04 15:39:29 +0000 2020,Trevornoah,Great games today! I’ll see you next time. https://t.co/sEkp7bk2mO,Nan,23,False,"New York, NY",10807999,325,True,Nan,0,465,Influencer
0,Sat Apr 04 16:07:27 +0000 2020,Trevornoah,Where in this entire interview do you hear either of us saying a vaccine will be tested in Africa? Are you confusing us with those French doctors or are you just trying to get retweets? https://t.co/eeqEIZWVPx,Nan,1497,False,"New York, NY",10807999,325,True,Nan,0,7761,Influencer
0,Sat Apr 04 16:09:08 +0000 2020,Trevornoah,😂 https://t.co/X9EeSPri3U,Nan,1507,False,"New York, NY",10807999,325,True,Nan,0,10578,Influencer
0,Sat Apr 04 16:20:32 +0000 2020,Trevornoah,Dear @NYCMayor is there a reason emergency vehicles are still using their sirens? It feels like with no cars on the road they might not need it and it might just exacerbated people’s anxiety in the city if that’s all they hear. 🙏🏽,NYCMayor,438,False,"New York, NY",10807999,325,True,Nan,0,7126,Influencer
0,Sun Apr 05 18:18:47 +0000 2020,Trevornoah,Now I see why I’ve been getting death threats for interviewing Bill. 😢 https://t.co/3UIeYQi2z0,Nan,3089,False,"New York, NY",10807999,325,True,Nan,0,11896,Influencer
0,Wed Apr 08 00:31:23 +0000 2020,Trevornoah,This Tweet from @Trevornoah has been withheld in response to a report from the copyright holder. Learn more.,Nan,3345,False,"New York, NY",10807999,325,True,Nan,0,24788,Influencer
0,Fri Apr 10 16:29:42 +0000 2020,Trevornoah,Thank you for the work you’re doing. Hopefully we can get as many governors as possible to help those in danger. 🙏🏽 https://t.co/SIUYDomG2Y,Nan,71,False,"New York, NY",10807999,325,True,Nan,0,892,Influencer
0,Fri Apr 10 17:28:21 +0000 2020,Trevornoah,🙈 this scared me way more than it should have. https://t.co/Akt2hEk0XI,Nan,2242,False,"New York, NY",10807999,325,True,Nan,0,11694,Influencer
0,Tue Apr 14 14:22:12 +0000 2020,Trevornoah,Wow! I’m honoured you’d spend your time and talent drawing me without my current quarantine hair. 😂Incredible work @ShanfieldM https://t.co/FNIQcb6a4R,ShanfieldM,472,False,"New York, NY",10807999,325,True,Nan,0,7998,Influencer
0,Wed Apr 15 13:24:49 +0000 2020,Trevornoah,@emarvelous @JoeBiden Third time’s a charm. 😄,emarvelous,1,False,"New York, NY",10807999,325,True,Nan,1,42,Influencer
0,Fri Apr 17 14:57:46 +0000 2020,Trevornoah,😂 https://t.co/lvsU1Dxvk5,Nan,637,False,"New York, NY",10807999,325,True,Nan,0,5202,Influencer
0,Fri Apr 17 14:58:32 +0000 2020,Trevornoah,This made me laugh so hard- do the eee ooo😂🤣😂 https://t.co/LotOBZlWkX,Nan,427,False,"New York, NY",10807999,325,True,Nan,0,3855,Influencer
0,Tue Apr 21 21:36:58 +0000 2020,Trevornoah,"It’s not late to the game, if you weren’t born yet! 🙌🏾 That reaction at the end is everything 😂 🎥 Insta: rachaelmarieeeeee https://t.co/0tNlRtKvRF",Nan,4665,False,"New York, NY",10807999,325,True,Nan,0,29399,Influencer
0,Wed Apr 22 00:12:25 +0000 2020,Trevornoah,"@yashar Yeah, and I think it’s because a lot of people thought social distance just means to stay away from strangers/public but still hang out with family and friends. Quarantine, everyone understands.",yashar,18,False,"New York, NY",10807999,325,True,Nan,1,781,Influencer
0,Wed Apr 22 22:47:27 +0000 2020,Trevornoah,Full episode is up at https://t.co/1NmUB60eAE 🙌🏾w/ @davidkibuuka https://t.co/RDkXJAM4uo,davidkibuuka,88,False,"New York, NY",10807999,325,True,Nan,0,718,Influencer
0,Sat Apr 25 16:10:37 +0000 2020,Trevornoah,I‘m not trying to grow a beard. I was just being sarcastic. 😄 https://t.co/VdiB6E7IBu,Nan,90,False,"New York, NY",10807999,325,True,Nan,0,2210,Influencer
0,Mon Apr 27 23:24:44 +0000 2020,Trevornoah,"TEACHERS who are forced to do all your work online! I’ve got 50 more Surface Laptops to give away to any educators who need a new device. Please tag your favourite teachers and I’ll pick 50 at random. PS- Teachers, you’re allowed to be your own favourite and tag yourself! 🙌🏾 https://t.co/CRnNvxUL3Y",Nan,20064,False,"New York, NY",10807999,325,True,Nan,0,100904,Influencer
0,Tue Apr 28 22:21:16 +0000 2020,Trevornoah,"UPDATE ** Announced a few surface laptop winners in my Insta/FB story but have 450,000 comments between socials so it might take a little longer than expected. 😂😱 Will keep going through and pick more teachers and announce all the winners soon via reply &amp; post! 🙏🏾 https://t.co/lzqRT4JdnI",Nan,280,False,"New York, NY",10807999,325,True,Nan,0,4021,Influencer
0,Wed Apr 29 02:19:20 +0000 2020,Trevornoah,Wow. Incredible story @FelizardoVarela Keep going! I've got a Surface laptop for you and one for @pmunsterman 🙏🏾 Please DM my guy @lancepatrick address info and I'll get them in the mail soon. 🙌🏾 https://t.co/XakKoQWPlt,FelizardoVarela,19,False,"New York, NY",10807999,325,True,Nan,0,420,Influencer
0,Wed Apr 29 02:47:42 +0000 2020,Trevornoah,@HeyyRB I've got a surface laptop with your name on it! Hope it makes teaching a little easier for you! Please DM @lancepatrick to get next steps and I'll get it out to you asap 🙏🏾,HeyyRB,7,False,"New York, NY",10807999,325,True,Nan,0,204,Influencer
0,Wed Apr 29 02:59:11 +0000 2020,Trevornoah,@ValeriaBrownEdu Let's get this @PBrownEdu you speak of a new laptop! Appreciate everything you do. 🍎Please DM @lancepatrick for next steps. 🙏🏾,ValeriaBrownEdu,17,False,"New York, NY",10807999,325,True,Nan,0,469,Influencer
0,Wed Apr 29 16:49:39 +0000 2020,Trevornoah,"@Ben_Schwartz24 Thanks for nominating @AsiahBerry15! I've got a surface laptop with her name on it! 🙌🏾Asiah, please DM @lancepatrick info and I will get it out asap 😀",Ben_Schwartz24,5,False,"New York, NY",10807999,325,True,Nan,0,34,Influencer
0,Wed Apr 29 17:01:42 +0000 2020,Trevornoah,@noelperez53 Your mother sounds like an incredible person and teacher! Tell her that she has a new laptop coming. 🙌🏾Please DM @lancepatrick your info and I will get it out to her! 😀,noelperez53,4,False,"New York, NY",10807999,325,True,Nan,0,31,Influencer
0,Fri May 01 22:20:00 +0000 2020,Trevornoah,"On Cinco de Mayo, you can help create a national salute to first responders from your couch! Post your thank you using #CincUp. For every public post using #CincUp, @ModeloUSA will donate $1 (up to $500K) to #FirstRespondersFirst to help get PPE to medical teams. #21AndOver #Ad https://t.co/i7LBQPvi3A",ModeloUSA,204,False,"New York, NY",10807999,325,True,CincUp,0,1032,Influencer
0,Fri May 01 22:58:21 +0000 2020,Trevornoah,@jaboukie 😂,jaboukie,12,False,"New York, NY",10807999,325,True,Nan,1,1733,Influencer
0,Sat May 02 00:21:03 +0000 2020,Trevornoah,"That time you were in route to the gym, but ended up at the club 😂😂😂 🎥Insta: solworld_ https://t.co/ytVqgVUffm",Nan,4769,False,"New York, NY",10807999,325,True,Nan,0,30435,Influencer
0,Sat May 02 18:21:47 +0000 2020,Trevornoah,Thank you to everyone that took the time to nominate so many incredible teachers! Here are the 50 that have new Surface laptops coming their way! 🍎🙏🏾 Enjoy! https://t.co/ilQ1XHEiMt,Nan,427,False,"New York, NY",10807999,325,True,Nan,0,7122,Influencer
0,Tue May 05 15:11:47 +0000 2020,Trevornoah,"I won't judge you if you double dip a chip today. But... I might judge you if you don't #CincUp with me to salute and support first responders. Post a personal thank you using #CincUp &amp; for every public post, @ModeloUSA will donate $1 (up to $500K) to #FirstRespondersFirst. #ad https://t.co/2BtOwOWGlS",ModeloUSA,90,False,"New York, NY",10807999,325,True,CincUp,0,596,Influencer
0,Tue May 05 19:43:20 +0000 2020,Trevornoah,@GeeDee215 😄 now you made me wanna watch this movie.,GeeDee215,0,False,"New York, NY",10807999,325,True,Nan,1,8,Influencer
0,Wed May 06 23:10:13 +0000 2020,Trevornoah,"When your friend asks you to trust him, then this happens. You can 100% trust I’d be looking for new friends. 😂🎥 Insta: henrrygreen https://t.co/sPXcFNgEcp",Nan,312,False,"New York, NY",10807999,325,True,Nan,0,2844,Influencer
0,Thu May 07 18:07:29 +0000 2020,Trevornoah,Honoured to be nominated. TY.🙏🏾 https://t.co/9L3Ap5kqsp,Nan,128,False,"New York, NY",10807999,325,True,Nan,0,1682,Influencer
0,Mon May 11 20:47:05 +0000 2020,Trevornoah,"Join me at 7:00 pm for Rise Up New York! The @RobinHoodNYC Benefit – a citywide telethon bringing together NYC’s biggest musicians, actors, chefs &amp; more with a common goal: To raise funds for New Yorkers most impacted by #COVID19. 
Learn more: https://t.co/kAmtnG8Due #NY4NY https://t.co/MM9LtLMnSh",RobinHoodNYC,90,False,"New York, NY",10807999,325,True,COVID19,0,603,Influencer
0,Fri May 15 18:27:45 +0000 2020,Trevornoah,@ZachAbolverdi Crash bandicoot 🙌🏽🙌🏽🙌🏽,ZachAbolverdi,0,False,"New York, NY",10807999,325,True,Nan,1,102,Influencer
0,Sun May 17 14:58:05 +0000 2020,Trevornoah,"Instead of just having no fans. Sports leagues should use the sounds of crowds from @EASPORTS. We don’t need to see the fans but hearing them makes the game!

Cc @Bundesliga_EN @premierleague",EASPORTS,424,False,"New York, NY",10807999,325,True,Nan,0,3923,Influencer
0,Sun May 17 17:28:58 +0000 2020,Trevornoah,Going to the supermarket during Corona is like playing Pac-Man in real life. https://t.co/iZinZNELrk,Nan,412,False,"New York, NY",10807999,325,True,Nan,0,2899,Influencer
0,Sun May 17 17:29:27 +0000 2020,Trevornoah,@Sikhululekile_ @EASPORTS @Bundesliga_EN @premierleague 😄🙈,Sikhululekile_,3,False,"New York, NY",10807999,325,True,Nan,1,73,Influencer
0,Tue May 19 22:29:23 +0000 2020,Trevornoah,Team @hearluminary for the win! Thank you for the honour @thewebbyawards 🙏🏾 https://t.co/7Q4lLi05d0,hearluminary,34,False,"New York, NY",10807999,325,True,Nan,0,746,Influencer
0,Wed May 20 15:21:53 +0000 2020,Trevornoah,How I’m celebrating today! Thank you to @thedailyshow &amp; @hearluminary teams for all the hard work! 7 Webbys? Wow! 🙏🏾 🎥: Forbes_Gang https://t.co/RVfkaes7Yn,TheDailyShow,588,False,"New York, NY",10807999,325,True,Nan,0,7246,Influencer
0,Fri May 22 03:03:10 +0000 2020,Trevornoah,"I love how he always stands, like he’s trying to do the Michael Jackson lean. 😄 https://t.co/i6LMeoKTYp",Nan,898,False,"New York, NY",10807999,325,True,Nan,0,9840,Influencer
0,Sat May 23 20:52:35 +0000 2020,Trevornoah,"I’m so honoured to be producing a movie about this amazing young man and his family’s extraordinary journey and I can’t wait for everyone to share in it. ""How a homeless refugee became a 9-year-old benevolent chess champion"" https://t.co/DbKcvaEPCx",Nan,1532,False,"New York, NY",10807999,325,True,Nan,0,11635,Influencer
0,Wed May 27 05:08:13 +0000 2020,Trevornoah,It happened 😄🙌🏽🙌🏽🙌🏽🙌🏽 https://t.co/oD1GLWNhO2 https://t.co/mqyxQiULP4,Nan,240,False,"New York, NY",10807999,325,True,Nan,0,2863,Influencer
0,Wed May 27 14:34:45 +0000 2020,Trevornoah,Congratulations to everyone who put this show together. It was an honour to be a part of it! https://t.co/dx9X4ktk8M,Nan,114,False,"New York, NY",10807999,325,True,Nan,0,1624,Influencer
0,Wed May 27 20:13:21 +0000 2020,Trevornoah,I would never use a video of a cute baby to promote a new episode of my podcast. It just happened to get uploaded at the same time as a new episode of my podcast. So enjoy this video and then click https://t.co/K5HpyxqSv3 for a new episode of the podcast! 🎥: @samsonthedood https://t.co/IsPtztk7xl,samsonthedood,351,False,"New York, NY",10807999,325,True,Nan,0,4850,Influencer
0,Sat May 30 01:04:03 +0000 2020,Trevornoah,#JusticeForGeorgeFloyd https://t.co/6zToUBHfzv,Nan,6199,False,"New York, NY",10807999,325,True,JusticeForGeorgeFloyd,0,22806,Influencer
0,Sat May 30 14:57:08 +0000 2020,Trevornoah,We’ve seen this in South Africa before. Beware of agitators and instigators who use legitimate protests to ignite chaos between protestors and police.,Nan,91781,False,"New York, NY",10807999,325,True,Nan,0,350692,Influencer
0,Fri Jun 05 05:31:30 +0000 2020,Trevornoah,"A hundred days ago @NYGovCuomo asked New Yorkers to do the right thing to help keep people safe and they did. Now, New Yorkers are asking him to do the right thing and he replies by telling them they’re not seeing what they’re seeing? https://t.co/OPJMyHiszt",NYGovCuomo,3843,False,"New York, NY",10807999,325,True,Nan,0,14394,Influencer
0,Sat Jun 06 15:34:44 +0000 2020,Trevornoah,This! 🙌🏾  IG: kimberlylatricejones &amp; djonesmedia https://t.co/l8zX4CULEg,Nan,55310,False,"New York, NY",10807999,325,True,Nan,0,118916,Influencer
0,Mon Jun 08 00:19:02 +0000 2020,Trevornoah,@MatthewACherry @kimlatricejones @Claribel_Ortega @TheDailyShow Definitely @kimlatricejones I’d love to have you as my guest.,MatthewACherry,156,False,"New York, NY",10807999,325,True,Nan,1,4794,Influencer
0,Mon Jun 22 17:15:16 +0000 2020,Trevornoah,👏🏾👏🏾👏🏾 @GaryChambersJr https://t.co/zWELpE0JO7,GaryChambersJr,5520,False,"New York, NY",10807999,325,True,Nan,0,23427,Influencer
0,Thu Jun 25 23:46:02 +0000 2020,Trevornoah,@kimlatricejones @DEADLINE 🙌🏽,kimlatricejones,4,False,"New York, NY",10807999,325,True,Nan,1,60,Influencer
0,Fri Jun 26 15:06:26 +0000 2020,Trevornoah,"There are people fighting to walk around a supermarket without a mask because they think it’s their “right”. 

Then there are people screaming at someone who’s sitting alone in an empty park, for not wearing their mask.

 Why is common sense so uncommon?",Nan,4996,False,"New York, NY",10807999,325,True,Nan,0,34354,Influencer
0,Mon Jul 06 21:54:14 +0000 2020,Trevornoah,Me at the restaurant after things return to normal. 🙌🏾😂 https://t.co/B8sFz5oXZn,Nan,1659,False,"New York, NY",10807999,325,True,Nan,0,14769,Influencer
